DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2023-05-09,202305,3,1230202136,12302030236,1683537036651,99765009.0,127.0,IPA GUTKHA UDHYOG-NEPAL,RR13,RR,2.0,1GM,PPH ,,1683537036651-ipa gutkha udhyog-nepal-rr13#3.png,RECODING,5
2023-05-09,202305,2,124775456,21301020033,1683526302648,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI MANGO,FROOTI MANGO\150\ML,30.0,150 ML,PET,New SKU,1683526302648-south asian beverages p- ltd-nepal-frooti mango#3.png,RECODING,5
2023-05-09,202305,2,124775456,21301020033,1683526135695,99764921.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683526135695-south asian beverages p- ltd-nepal-appy fizz#3.png,CROSS CODING,2
2023-05-09,202305,2,124775456,21301020033,1683525722480,,,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683525722480-south asian beverages p- ltd-nepal-appy fizz#3.png,DELETE THE ITEM,1
2023-05-09,202305,2,124917435,52202020014,1683534289841,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI ,FROOTI MANGO/150ML/PBT,30.0,1500ML ,PBT,,1683534289841-south asian beverages p- ltd-nepal-frooti #3.png,RECODING,5
2023-05-09,202305,2,112165666,21101020096,1683455086774,99765007.0,134.0,T.R.INTERNATIONAL GROUP PVT.LTD,AQUA PURE,AQUA PURE / 1000ML/PET,25.0,1000ML,PET,Sales Deviation is OK,1683455086774-t-r-international group pvt-ltd-aqua pure#3.png,RECODING,5
2023-05-09,202305,2,114764953,21101020109,1683452709429,99765008.0,134.0,BAJARANG MINERAL WATER INDUSTRIES NEPAL,MOUNTAIN MIST,MOUNTAIN MIST/ 20/LTRS/BAJARANGA MINERAL WATER INDUSTRIESS NEPAL,47.0,20 LTRS,JAR,Sales Deviation is OK,1683452709429-bajarang mineral water industries nepal-mountain mist#3.png,RECODING,5
2023-05-12,202305,2,122728277,31101020049,1683614039472,99764984.0,134.0,AAKAR FOOD & BEVERAGE-NEPAL,AQUA POKHARELI,AQUA POKHARELI PBT 1L,25.0,1L,PBT,,1683614039472-aakar food - beverage-nepal-aqua pokhareli#3.png,CROSS CODING,2
2023-05-12,202305,2,233775810125,23377020008,1683701228944,99765012.0,134.0,MARUTI DAIRY PRODUCT-NEPAL,MILK-O,MILK-O\180ML\CAN\BADAM & KESAR,90.0,180ML,CAN,Sales Deviation is OK,1683701228944-maruti dairy product-nepal-milk-o#3.png,RECODING,5
2023-05-12,202305,2,233775810125,23377020008,1683701516269,99765013.0,134.0,ASHISH ENTERPRISE INDIA ,FUNLIPS LITCHI,FUNLIPS LITCHI\170ML\PBT\LITCHI FLAVOUR ,16.0,170ML,PBT,,1683701516269-ashish enterprise india -funlips litchi#3.png,RECODING,5
2023-05-12,202305,2,123126387,12303020018,1683710694226,99765011.0,134.0,MAHALAXMI JAL UDHOG NEPAL,SAMABESHI,SAMABESHI PBT 1000MK,20.0,1000ML,PBT,Sales Deviation is OK,1683710694226-mahalaxmi jal udhog nepal-samabeshi#3.png,RECODING,5
2023-05-12,202305,2,125085301,21301020044,1683615561380,99764969.0,134.0,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE\250\ML,50.0,250 ML,PET,,1683615561380-life food - beverage-nepal-fizzy life#3.png,CROSS CODING,2
2023-05-12,202305,2,125085301,21301020044,1683615815735,99764968.0,134.0,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE\CLUB SODA\250\ML,50.0,250 ML,PET,New SKU,1683615815735-life food - beverage-nepal-fizzy life#3.png,CROSS CODING,2
2023-05-12,202305,2,126721948,32201020007,1683618514575,99765014.0,118.0,THE COCACOLA COMPANY-IMPORTED,LIMCA,LIMCA LIME N LEMON/250ML/PBT/NRS50/THE COCACOLA COMPANY-IMPORTED,50.0,250 ML,PBT,,1683618514575-the cocacola company-imported-limca#3.png,RECODING,5
2023-05-12,202305,2,124639873,31101020026,1683614039472,99764984.0,134.0,AAKAR FOOD & BEVERAGE-NEPAL,AQUA POKHARELI,AQUA POKHARELI PBT 1L,25.0,1L,PBT,,1683614039472-aakar food - beverage-nepal-aqua pokhareli#3.png,CROSS CODING,2
2023-05-12,202305,2,112334333,21102020014,1683543834831,99765010.0,134.0,PRASID WATER SOLUTIONS PVT.LTD,FORBES SPRING,FORBES SPRING/PROCESSED DRINKING WATER,60.0,1000ML,PBT,Sales Deviation is OK,1683543834831-prasid water solutions pvt-ltd-forbes spring#3.png,RECODING,5
