DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5
2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5
2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5
2023-10-11,202310,2,113389746,52204020004,1696923515130,99765109,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,250ML ,CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png,RECODING,5
2023-10-16,202310,2,111206412,21102020036,1697349961368,99765101,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH/,80,500ML,PBT,,1697349961368-manakamana fruit - beverage-np-nimbu fresh#3.png,RECODING,5
2023-10-16,202310,2,111206412,21102020036,1697349680869,99765102,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,50,250ML,PBT,,1697349680869-manakamana fruit - beverage-np-shikanji masala#3.png,RECODING,5
2023-10-16,202310,2,111206412,21102020036,1697349833637,99765103,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,50,250ML,PBT,,1697349833637-manakamana fruit - beverage-np-peach masti#3.png,RECODING,5
2023-10-16,202310,2,128702441,12201020028,1697189732477,99765104,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU PEACH FLAVORED DRINK PET 320ML,150,320ML,PET,,1697189732477-sappe public company limited thailand-mogu mogu#3.png,RECODING,5
2023-10-16,202310,2,128702441,12201020028,1697190407963,99765105,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU LYCHEE FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190407963-sappe public company limited thailand-mogu mogu#3.png,RECODING,5
2023-10-16,202310,2,128702441,12201020028,1697190261438,99765106,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU BLACKCURRANT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190261438-sappe public company limited thailand-mogu mogu#3.png,RECODING,5
2023-10-16,202310,2,128702441,12201020028,1697190090497,99765107,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU YOGURT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190090497-sappe public company limited thailand-mogu mogu#3.png,RECODING,5
2023-10-16,202310,2,121838548,31101020068,1697189657881,99765100,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC ENRERGY DRINK\250ML\CAN\RS:120\LIFE FOOD&BEVRAGE PVT.LTD NEPAL,120,250 ML ,CAN,,1697189657881-life food - beverage-nepal-ki bu#3.png,RECODING,5
2023-10-16,202310,2,124306089,21301020031,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,New SKU,,RECODING,5
2023-10-18,202310,2,128757050,12201020010,1696921559996,99765081,118,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI-LEMON PET 600ML,85,600ML,PET,Sales Deviation is OK,1696921559996-singapore beverage-nepal-nimbu pani#3.png,CROSS CODING,2
2023-10-18,202310,2,128757050,12201020010,1696921982357,99765108,118,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI-LEMON PET 2.25LTR,260,2.25LTR,PET,,1696921982357-singapore beverage-nepal-nimbu pani#3.png,RECODING,5
2023-10-20,202310,2,132848528,31303020029,1697696629275,99765100,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU-CLASSIC CAN 250 ML,120,250ML,CAN,,1697696629275-life food - beverage-nepal-ki bu classic#3.png,RECODING,5
